index,key_column,county,year,case,state,fips,precipitation,temp,population,rate,tempchg_c,tempchg,slope,bin
102.0,103.0,calaveras,2019,3.0,California,6009.0,0.016666666666666666,74.0,45905.0,6.535235813092256,0.8691214470284261,1.564418604651167,0.012616279069767476,"(-inf, 0.0]"
103.0,104.0,calaveras,2020,8.0,California,6009.0,0.03333333333333333,75.0,45346.0,17.642129405019187,0.8761304909560746,1.5770348837209345,0.012616279069767476,"(-inf, 0.0]"
104.0,105.0,calaveras,2021,1.0,California,6009.0,0.04,77.7,46219.0,2.163612367208291,0.8831395348837233,1.589651162790702,0.012616279069767476,"(-inf, 0.0]"
105.0,106.0,colusa,2001,0.0,California,6011.0,0.07666666666666667,75.73333333333333,19022.0,0.0,0.8634271682236803,1.5541689028026244,0.014661970781156834,"(-inf, 0.0]"
106.0,107.0,colusa,2002,0.0,California,6011.0,0.0,76.36666666666666,19232.0,0.0,0.8715727075465451,1.5688308735837813,0.014661970781156834,"(-inf, 0.0]"
107.0,108.0,colusa,2003,0.0,California,6011.0,0.10666666666666667,76.96666666666667,19568.0,0.0,0.87971824686941,1.583492844364938,0.014661970781156834,"(-inf, 0.0]"
108.0,109.0,colusa,2004,3.0,California,6011.0,0.01,75.76666666666667,20207.0,14.846340377097045,0.8878637861922749,1.598154815146095,0.014661970781156834,"(-inf, 0.0]"
109.0,110.0,colusa,2005,1.0,California,6011.0,0.3566666666666667,75.7,20540.0,4.868549172346641,0.8960093255151398,1.6128167859272518,0.014661970781156834,"(-inf, 0.0]"
110.0,111.0,colusa,2006,3.0,California,6011.0,0.02,77.56666666666666,20890.0,14.360938247965533,0.9041548648380048,1.6274787567084086,0.014661970781156834,"(-inf, 0.0]"
111.0,112.0,colusa,2007,0.0,California,6011.0,0.05333333333333334,75.8,21075.0,0.0,0.9123004041608697,1.6421407274895654,0.014661970781156834,"(-inf, 0.0]"
112.0,113.0,colusa,2008,0.0,California,6011.0,0.006666666666666667,77.2,21134.0,0.0,0.9204459434837345,1.6568026982707222,0.014661970781156834,"(-inf, 0.0]"
113.0,114.0,colusa,2009,0.0,California,6011.0,0.13999999999999999,75.86666666666666,21250.0,0.0,0.9285914828065994,1.671464669051879,0.014661970781156834,"(-inf, 0.0]"
114.0,115.0,colusa,2010,0.0,California,6011.0,0.013333333333333334,75.23333333333333,21437.0,0.0,0.9367370221294644,1.686126639833036,0.014661970781156834,"(-inf, 0.0]"
115.0,116.0,colusa,2011,1.0,California,6011.0,0.5066666666666667,74.13333333333333,21323.0,4.689771608122684,0.9448825614523293,1.7007886106141927,0.014661970781156834,"(-inf, 0.0]"
116.0,117.0,colusa,2012,0.0,California,6011.0,0.03666666666666667,75.83333333333333,21284.0,0.0,0.9530281007751942,1.7154505813953496,0.014661970781156834,"(-inf, 0.0]"
117.0,118.0,colusa,2013,0.0,California,6011.0,0.15333333333333335,76.63333333333333,21250.0,0.0,0.9611736400980591,1.7301125521765064,0.014661970781156834,"(-inf, 0.0]"
118.0,119.0,colusa,2014,0.0,California,6011.0,0.03,78.03333333333333,21176.0,0.0,0.9693191794209239,1.7447745229576632,0.014661970781156834,"(-inf, 0.0]"
119.0,120.0,colusa,2015,1.0,California,6011.0,0.06666666666666667,78.03333333333333,21231.0,4.7100937308652435,0.9774647187437889,1.75943649373882,0.014661970781156834,"(-inf, 0.0]"
