year,fips,month,temp
1965,04003,Jan,1.23
1966,04003,Jan,1.07
1967,04003,Jan,0.03
1968,04003,Jan,0.77
1969,04003,Jan,0.67
1970,04003,Jan,0.01
1971,04003,Jan,0.14
1972,04003,Jan,0.07
1973,04003,Jan,0.77
1974,04003,Jan,1.28
1975,04003,Jan,0.87
1976,04003,Jan,0.42
1977,04003,Jan,1.98
1978,04003,Jan,2.68
1979,04003,Jan,2.75
1980,04003,Jan,0.77
1981,04003,Jan,1.24
1982,04003,Jan,1.6
1983,04003,Jan,1.76
1984,04003,Jan,1.53
1985,04003,Jan,1.95
1986,04003,Jan,0.15
1987,04003,Jan,0.54
1988,04003,Jan,1.09
1989,04003,Jan,1.32
1990,04003,Jan,0.65
1991,04003,Jan,1.55
1992,04003,Jan,1.63
1993,04003,Jan,5.1
1994,04003,Jan,0.21
1995,04003,Jan,1.48
1996,04003,Jan,0.05
1997,04003,Jan,1.48
1998,04003,Jan,0.13
1999,04003,Jan,0.05
2000,04003,Jan,0.06
2001,04003,Jan,1.55
2002,04003,Jan,0.38
2003,04003,Jan,0.12
2004,04003,Jan,1.42
2005,04003,Jan,2.36
2006,04003,Jan,0.1
2007,04003,Jan,1.64
2008,04003,Jan,0.38
2009,04003,Jan,0.59
2010,04003,Jan,2.89
2011,04003,Jan,0.02
2012,04003,Jan,0.19
2013,04003,Jan,0.66
2014,04003,Jan,0.01
2015,04003,Jan,2.28
2016,04003,Jan,1.43
2017,04003,Jan,1.55
2018,04003,Jan,0.18
2019,04003,Jan,1.1
2020,04003,Jan,0.67
2021,04003,Jan,1.12
2022,04003,Jan,0.54
2023,04003,Jan,1.41
1895,04005,Jan,4.63
1896,04005,Jan,0.47
1897,04005,Jan,2.86
1898,04005,Jan,2.06
1899,04005,Jan,0.66
1900,04005,Jan,0.2
1901,04005,Jan,1.19
1902,04005,Jan,0.76
1903,04005,Jan,0.29
1904,04005,Jan,0.18
1905,04005,Jan,2.75
1906,04005,Jan,1.27
1907,04005,Jan,2.76
1908,04005,Jan,1.06
1909,04005,Jan,1.6
1910,04005,Jan,1.48
1911,04005,Jan,2.51
1912,04005,Jan,0.04
1913,04005,Jan,0.64
1914,04005,Jan,1.86
1915,04005,Jan,2.25
1916,04005,Jan,3.85
1917,04005,Jan,2.28
1918,04005,Jan,1.29
1919,04005,Jan,0.31
1920,04005,Jan,1.42
1921,04005,Jan,1.18
1922,04005,Jan,1.86
1923,04005,Jan,0.98
1924,04005,Jan,0.16
1925,04005,Jan,0.16
1926,04005,Jan,0.19
1927,04005,Jan,0.62
1928,04005,Jan,0.33
1929,04005,Jan,0.98
1930,04005,Jan,1.67
1931,04005,Jan,0.44
1932,04005,Jan,0.79
1933,04005,Jan,1.57
1934,04005,Jan,0.5
1935,04005,Jan,2.52
1936,04005,Jan,0.32
1937,04005,Jan,1.54
1938,04005,Jan,1.23
1939,04005,Jan,1.18
1940,04005,Jan,1.3
1941,04005,Jan,1.67
1942,04005,Jan,0.42
1943,04005,Jan,1.98
1944,04005,Jan,0.85
1945,04005,Jan,0.86
1946,04005,Jan,0.86
1947,04005,Jan,0.32
1948,04005,Jan,0.27
1949,04005,Jan,2.96
1950,04005,Jan,0.75
1951,04005,Jan,1.03
1952,04005,Jan,2.21
1953,04005,Jan,0.37
1954,04005,Jan,1.17
1955,04005,Jan,1.4
1956,04005,Jan,1.22
1957,04005,Jan,3.45
1958,04005,Jan,0.39
1959,04005,Jan,0.23
1960,04005,Jan,1.14
1961,04005,Jan,0.58
1962,04005,Jan,1.21
1963,04005,Jan,0.59
1964,04005,Jan,0.51
1965,04005,Jan,1.57
1966,04005,Jan,0.5
1967,04005,Jan,0.56
1968,04005,Jan,0.59
1969,04005,Jan,2.11
1970,04005,Jan,0.38
1971,04005,Jan,0.13
1972,04005,Jan,0
1973,04005,Jan,1.27
1974,04005,Jan,2.14
1975,04005,Jan,0.7
1976,04005,Jan,0.08
1977,04005,Jan,0.98
1978,04005,Jan,2.96
1979,04005,Jan,2.76
1980,04005,Jan,3.37
1981,04005,Jan,0.57
1982,04005,Jan,2.03
1983,04005,Jan,1.02
1984,04005,Jan,0.29
1985,04005,Jan,1.75
1986,04005,Jan,0.13
1987,04005,Jan,1.28
1988,04005,Jan,1.1
1989,04005,Jan,1.45
1990,04005,Jan,1.11
1991,04005,Jan,1.17
1992,04005,Jan,0.98
1993,04005,Jan,5.2
1994,04005,Jan,0.31
1995,04005,Jan,2.65
1996,04005,Jan,0.35
1997,04005,Jan,2.47
1998,04005,Jan,0.69
1999,04005,Jan,0.27
2000,04005,Jan,0.62
2001,04005,Jan,1.66
2002,04005,Jan,0.18
2003,04005,Jan,0.29
2004,04005,Jan,0.62
2005,04005,Jan,3.59
2006,04005,Jan,0.21
2007,04005,Jan,0.57
2008,04005,Jan,2.46
2009,04005,Jan,0.56
2010,04005,Jan,2.85
2011,04005,Jan,0.06
2012,04005,Jan,0.39
2013,04005,Jan,1.56
2014,04005,Jan,0.1
2015,04005,Jan,1.48
2016,04005,Jan,1.31
2017,04005,Jan,2.74
2018,04005,Jan,0.69
2019,04005,Jan,1.67
2020,04005,Jan,0.28
2021,04005,Jan,1.35
2022,04005,Jan,0.15
2023,04005,Jan,3.02
1895,04007,Jan,4.07
1896,04007,Jan,0.75
1897,04007,Jan,6.33
1898,04007,Jan,4.01
1899,04007,Jan,1.89
1900,04007,Jan,0.28
1901,04007,Jan,3.09
1902,04007,Jan,1.74
1903,04007,Jan,0.18
1904,04007,Jan,0.58
1905,04007,Jan,5.7
1906,04007,Jan,1.1
1907,04007,Jan,3.05
1908,04007,Jan,1.17
1909,04007,Jan,2.27
1910,04007,Jan,2.49
1911,04007,Jan,4.25
1912,04007,Jan,0
1913,04007,Jan,1.14
1914,04007,Jan,1.91
1915,04007,Jan,4.56
1916,04007,Jan,9.65
1917,04007,Jan,4.44
1918,04007,Jan,3.91
1919,04007,Jan,0.91
1920,04007,Jan,3.26
1921,04007,Jan,0.8
1922,04007,Jan,4.24
1923,04007,Jan,1.23
1924,04007,Jan,0.07
1925,04007,Jan,0.31
1926,04007,Jan,0.96
1927,04007,Jan,0.31
1928,04007,Jan,0.43
1929,04007,Jan,1.6
1930,04007,Jan,4.16
1931,04007,Jan,0.73
1932,04007,Jan,1.53
1933,04007,Jan,2.59
1934,04007,Jan,0.29
1935,04007,Jan,3.3
1936,04007,Jan,1.42
1937,04007,Jan,2.96
1938,04007,Jan,0.71
1939,04007,Jan,1.9
1940,04007,Jan,1.12
1941,04007,Jan,3.95
1942,04007,Jan,1.44
1943,04007,Jan,3.53
1944,04007,Jan,1.14
1945,04007,Jan,2.39
1946,04007,Jan,1.83
1947,04007,Jan,0.66
1948,04007,Jan,0.15
1949,04007,Jan,4.71
1950,04007,Jan,1.43
1951,04007,Jan,2.97
1952,04007,Jan,3.82
1953,04007,Jan,0.57
1954,04007,Jan,2.18
1955,04007,Jan,3.13
1956,04007,Jan,2.05
1957,04007,Jan,6.76
1958,04007,Jan,0.15
1959,04007,Jan,0.56
1960,04007,Jan,3.21
1961,04007,Jan,1.11
1962,04007,Jan,2.96
1963,04007,Jan,1.29
1964,04007,Jan,0.95
1965,04007,Jan,3.65
1966,04007,Jan,1.15
1967,04007,Jan,0.58
1968,04007,Jan,1.48
1969,04007,Jan,3.02
1970,04007,Jan,0.31
1971,04007,Jan,0.51
1972,04007,Jan,0.01
1973,04007,Jan,0.82
1974,04007,Jan,3.48
1975,04007,Jan,0.9
1976,04007,Jan,0.35
1977,04007,Jan,2.46
1978,04007,Jan,4.77
1979,04007,Jan,5.56
1980,04007,Jan,6.37
1981,04007,Jan,1.11
1982,04007,Jan,3.77
1983,04007,Jan,2.56
1984,04007,Jan,0.72
1985,04007,Jan,2.87
1986,04007,Jan,0.29
1987,04007,Jan,2.13
1988,04007,Jan,2.58
1989,04007,Jan,2.73
1990,04007,Jan,1.05
1991,04007,Jan,1.71
